UIDN,OIDN,Ondernemingsnr,Maatschappelijke_naam,Commerciele_naam,Afgekorte_naam,Ondernemingsnr_maatsch_zetel,Type_onderneming,Rechtsvorm,Rechtstoestand,KBO_Straat,KBO_Huisnr,KBO_Busnr,KBO_Postcode,KBO_Gemeente,AR_straat,AR_huisnr,AR_busnr,AR_postcode,NACE_hoofdact_BTW,NACE_versie_BTW,Omschrijving_hoofdact_BTW,Aantal_hoofdact_BTW,NACE_hoofdact_RSZ,NACE_Versie_RSZ,Omschrijving_hoofdact_RSZ,Aantal_Hoofdact_RSZ,Personeelsklasse,Datum_inschrijving,Startdatum,longitude,latitude
10464279,6199936,0806719306,"Vereniging van Mede-eigenaars van het gebouw 'Residentie Boekenborg' te Schoten, Boekenborglei", ,Residentie Boekenborg, ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Boekenborglei,ZN, ,2900,Schoten,Boekenborglei, , , , , , ,0, , , ,0, ,2008-09-30T00:00:00Z,2008-04-25T00:00:00Z,2.30668925,49.2933354
10464289,6199946,0806725442,KONINKLIJKE KATHOLIEKE TURN- EN SPORTVERENIGING HOU ENDE TROU MERKSEM, ,KKTSV  HOU ENDE TROU MERKSEM, ,Rechtspersoon,Vereniging zonder winstoogmerk,Normale toestand,Eugeen Verbiststraat,25, ,2900,Schoten,Eugeen Verbiststraat,25, ,2900, , , ,0, , , ,0, ,2008-09-30T00:00:00Z,2008-09-26T00:00:00Z,4.46611429,51.2521996
10464560,6200217,0801341051,"Vereniging van Mede-eigenaars van het gebouw te 2900 Schoten, Antoon Van Dijckstraat 13", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Antoon Van Dijckstraat,13, ,2900,Schoten,Antoon Van Dijckstraat,13, ,2900, , , ,0, , , ,0, ,2023-05-02T00:00:00Z,1995-08-01T00:00:00Z,4.47297208,51.24449758
10464769,6200426,0802264432,NjaNja, , , ,Rechtspersoon,Vereniging zonder winstoogmerk,Normale toestand,Kopstraat,346-348, ,2900,Schoten,Kopstraat,346, ,2900, , , ,0, , , ,0, ,2023-05-31T00:00:00Z,2023-05-09T00:00:00Z,4.50488451,51.26116279
10465444,6201101,0806132158,"Vereniging van Mede-eigenaars van het gebouw te Schoten, Neerhoeve 21", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Neerhoeve,21, ,2900,Schoten,Neerhoeve,21, ,2900, , , ,0, , , ,0, ,2008-09-03T00:00:00Z,2008-04-07T00:00:00Z,4.48830574,51.25135589
10465445,6201102,0806132356,"Vereniging van Mede-eigenaars van het gebouw Schoten, Sluizenstraat 6", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Sluizenstraat,6, ,2900,Schoten,Sluizenstraat,6, ,2900, , , ,0, , , ,0, ,2008-09-03T00:00:00Z,2008-04-02T00:00:00Z,4.50785546,51.25174023
10465659,6201316,0464328508,Accordo, , , ,Rechtspersoon,Vereniging zonder winstoogmerk,Normale toestand,Plutostraat,9, ,2900,Schoten,Plutostraat,9, ,2900, , , ,0, , , ,0, ,2003-01-19T00:00:00Z,1998-06-08T00:00:00Z,4.46919642,51.24374954
10465728,6201385,0464678597,BEAU INVESTMENTS, , , ,Rechtspersoon,Naamloze vennootschap,Normale toestand,Listdreef,32/34, ,2900,Schoten,Listdreef,32, ,2900, , , ,0, , , ,0, ,2003-01-19T00:00:00Z,1998-11-23T00:00:00Z,4.47650493,51.2619615
10466722,6202379,0800603950,"Vereniging van Mede-eigenaars van Bedrijfsverzamelgebouwen F-G bedrijvenpark De Zwaan te 2900 Schoten, Brechtsebaan 913", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Brechtsebaan,913, ,2900,Schoten,Brechtsebaan,913, ,2900, , , ,0, , , ,0, ,2023-04-11T00:00:00Z,2023-03-17T00:00:00Z,4.54976377,51.29599217
10467412,6203069,2350940302,AQUAFIN,RWZI Schoten, ,0440691388, , , ,Jozef Cogelslei,52, ,2900,Schoten,Jozef Cogelslei,52, ,2900, , , ,0, , , ,0, ,2023-10-24T00:00:00Z,2023-10-12T00:00:00Z,4.46315607,51.24162117
